School_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),STUDENT INITIATED ACTIVITIES (CLUBS & SOCIETIES),OTHERS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),STUDENT LEADERSHIP (COUNCIL),OTHERS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),SWIMMING,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),TABLE TENNIS,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),TAEKWONDO,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),TENNIS,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),TOUCH RUGBY,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),TRACK AND FIELD,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),VOLLEYBALL,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),WUSHU,PHYSICAL SPORTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),BADMINTON,PHYSICAL SPORTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),DESIGN AND INNOVATION,CLUBS AND SOCIETIES,MAKERS' CLUB
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,STAGEARTS DRAMA
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,GREEN CLUB
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),FOOTBALL,PHYSICAL SPORTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),GOLF,PHYSICAL SPORTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),GUITAR ENSEMBLE,VISUAL AND PERFORMING ARTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),HEALTH AND FITNESS,PHYSICAL SPORTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,INFOCOMM CLUB
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,MEDIA CLUB
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (AIR),UNIFORMED GROUPS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),NETBALL,PHYSICAL SPORTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),RED CROSS YOUTH,UNIFORMED GROUPS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),SCOUTS,UNIFORMED GROUPS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),SINGAPORE NATIONAL YOUTH ORCHESTRA,VISUAL AND PERFORMING ARTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),SWIMMING,PHYSICAL SPORTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),TAEKWONDO,PHYSICAL SPORTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),TRACK AND FIELD,PHYSICAL SPORTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),VOLLEYBALL,PHYSICAL SPORTS,
DUNMAN SECONDARY SCHOOL,SECONDARY (S1-S5),WUSHU,PHYSICAL SPORTS,
EAST SPRING PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,
EAST SPRING PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,
EAST SPRING PRIMARY SCHOOL,PRIMARY,GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,
EAST SPRING PRIMARY SCHOOL,PRIMARY,INDIAN DANCE,VISUAL AND PERFORMING ARTS,
EAST SPRING PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,MEDIA CLUB
EAST SPRING PRIMARY SCHOOL,PRIMARY,MALAY DANCE,VISUAL AND PERFORMING ARTS,
EAST SPRING PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,FUSION & MODERN DANCE
EAST SPRING PRIMARY SCHOOL,PRIMARY,MODULAR CCA (SPORTS),PHYSICAL SPORTS,SPORTS CLUB
EAST SPRING PRIMARY SCHOOL,PRIMARY,MODULAR CCA (VPA),VISUAL AND PERFORMING ARTS,MUSIC CLUB
EAST SPRING PRIMARY SCHOOL,PRIMARY,PHYSICAL SCIENCE,CLUBS AND SOCIETIES,ENVIRONMENTAL CLUB
EAST SPRING PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,
EAST SPRING PRIMARY SCHOOL,PRIMARY,VOLLEYBALL,PHYSICAL SPORTS,
EAST SPRING PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),AUDIO VISUAL AID,CLUBS AND SOCIETIES,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),BADMINTON,PHYSICAL SPORTS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),CHINESE DANCE,VISUAL AND PERFORMING ARTS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),DESIGN AND INNOVATION,CLUBS AND SOCIETIES,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),FLOORBALL,PHYSICAL SPORTS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),JOURNALISM,CLUBS AND SOCIETIES,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),MALAY DANCE,VISUAL AND PERFORMING ARTS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CIVIL DEFENCE CADET CORPS,UNIFORMED GROUPS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),NETBALL,PHYSICAL SPORTS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),RUGBY,PHYSICAL SPORTS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),SCOUTS,UNIFORMED GROUPS,
EAST SPRING SECONDARY SCHOOL,SECONDARY (S1-S5),ST JOHN BRIGADE,UNIFORMED GROUPS,
EDGEFIELD PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,ART CLUB
